;ID;CLUSTER
496;Hauts-de-Seine | 1990;1
497;Seine-Saint-Denis | 1990;1
498;Val-de-Marne | 1990;1
499;Val-d'Oise | 1990;1
500;Guadeloupe | 1990;2
501;Martinique | 1990;2
502;Guyane | 1990;2
503;La Réunion | 1990;2
504;faute de frappe | 1990;1
505;Ain | 1999;2
506;Aisne | 1999;2
507;Allier | 1999;2
508;Alpes-de-Haute-Provence | 1999;2
509;Hautes-Alpes | 1999;2
510;Alpes-Maritimes | 1999;1
511;Ardèche | 1999;2
512;Ardennes | 1999;2
513;Ariège | 1999;2
514;Aube | 1999;2
515;Aude | 1999;2
516;Aveyron | 1999;2
517;Bouches-du-Rhône | 1999;0
518;Calvados | 1999;2
519;Cantal | 1999;2
520;Charente | 1999;2
521;Charente-Maritime | 1999;2
522;Cher | 1999;2
523;Corrèze | 1999;2
524;Côte-d'Or | 1999;2
525;Côtes-d'Armor | 1999;2
526;Creuse | 1999;2
527;Dordogne | 1999;2
528;Doubs | 1999;2
529;Drôme | 1999;2
530;Eure | 1999;2
531;Eure-et-Loir | 1999;2
532;Finistère | 1999;1
533;Corse-du-Sud | 1999;2
534;Haute-Corse | 1999;2
535;Gard | 1999;2
536;Haute-Garonne | 1999;1
537;Gers | 1999;2
538;Gironde | 1999;1
539;Hérault | 1999;1
540;Ille-et-Vilaine | 1999;1
541;Indre | 1999;2
542;Indre-et-Loire | 1999;2
543;Isère | 1999;1
544;Jura | 1999;2
545;Landes | 1999;2
546;Loir-et-Cher | 1999;2
547;Loire | 1999;1
548;Haute-Loire | 1999;2
549;Loire-Atlantique | 1999;1
550;Loiret | 1999;2
551;Lot | 1999;2
552;Lot-et-Garonne | 1999;2
553;Lozère | 1999;2
554;Maine-et-Loire | 1999;1
555;Manche | 1999;2
556;Marne | 1999;2
557;Haute-Marne | 1999;2
558;Mayenne | 1999;2
559;Meurthe-et-Moselle | 1999;1
560;Meuse | 1999;2
561;Morbihan | 1999;2
562;Moselle | 1999;1
563;Nièvre | 1999;2
564;Nord | 1999;0
565;Oise | 1999;1
566;Orne | 1999;2
567;Pas-de-Calais | 1999;1
568;Puy-de-Dôme | 1999;2
569;Pyrénées-Atlantiques | 1999;2
570;Hautes-Pyrénées | 1999;2
571;Pyrénées-Orientales | 1999;2
572;Bas-Rhin | 1999;1
573;Haut-Rhin | 1999;2
574;Rhône | 1999;1
575;Haute-Saône | 1999;2
576;Saône-et-Loire | 1999;2
577;Sarthe | 1999;2
578;Savoie | 1999;2
579;Haute-Savoie | 1999;2
580;Paris | 1999;0
581;Seine-Maritime | 1999;1
582;Seine-et-Marne | 1999;1
583;Yvelines | 1999;1
584;Deux-Sèvres | 1999;2
585;Somme | 1999;2
586;Tarn | 1999;2
587;Tarn-et-Garonne | 1999;2
588;Var | 1999;1
589;Vaucluse | 1999;2
590;Vendée | 1999;2
591;Vienne | 1999;2
592;Haute-Vienne | 1999;2
593;Vosges | 1999;2
594;Yonne | 1999;2
595;Territoire de Belfort | 1999;2
596;Essonne | 1999;1
597;Hauts-de-Seine | 1999;1
598;Seine-Saint-Denis | 1999;1
599;Val-de-Marne | 1999;1
600;Val-d'Oise | 1999;1
601;Guadeloupe | 1999;2
602;Martinique | 1999;2
603;Guyane | 1999;2
604;La Réunion | 1999;1
605;faute de frappe | 1999;1
606;Ain | 2006;2
607;Aisne | 2006;2
608;Allier | 2006;2
609;Alpes-de-Haute-Provence | 2006;2
610;Hautes-Alpes | 2006;2
611;Alpes-Maritimes | 2006;1
612;Ardèche | 2006;2
613;Ardennes | 2006;2
614;Ariège | 2006;2
615;Aube | 2006;2
616;Aude | 2006;2
617;Aveyron | 2006;2
618;Bouches-du-Rhône | 2006;0
619;Calvados | 2006;2
620;Cantal | 2006;2
621;Charente | 2006;2
622;Charente-Maritime | 2006;2
623;Cher | 2006;2
624;Corrèze | 2006;2
625;Côte-d'Or | 2006;2
626;Côtes-d'Armor | 2006;2
627;Creuse | 2006;2
628;Dordogne | 2006;2
629;Doubs | 2006;2
630;Drôme | 2006;2
631;Eure | 2006;2
632;Eure-et-Loir | 2006;2
633;Finistère | 2006;1
634;Corse-du-Sud | 2006;2
635;Haute-Corse | 2006;2
636;Gard | 2006;2
637;Haute-Garonne | 2006;1
638;Gers | 2006;2
639;Gironde | 2006;1
640;Hérault | 2006;1
641;Ille-et-Vilaine | 2006;1
642;Indre | 2006;2
643;Indre-et-Loire | 2006;2
644;Isère | 2006;1
645;Jura | 2006;2
646;Landes | 2006;2
647;Loir-et-Cher | 2006;2
648;Loire | 2006;2
649;Haute-Loire | 2006;2
650;Loire-Atlantique | 2006;1
651;Loiret | 2006;2
652;Lot | 2006;2
653;Lot-et-Garonne | 2006;2
654;Lozère | 2006;2
655;Maine-et-Loire | 2006;2
656;Manche | 2006;2
657;Marne | 2006;2
658;Haute-Marne | 2006;2
659;Mayenne | 2006;2
660;Meurthe-et-Moselle | 2006;2
661;Meuse | 2006;2
662;Morbihan | 2006;2
663;Moselle | 2006;1
664;Nièvre | 2006;2
665;Nord | 2006;0
666;Oise | 2006;1
667;Orne | 2006;2
668;Pas-de-Calais | 2006;1
669;Puy-de-Dôme | 2006;2
670;Pyrénées-Atlantiques | 2006;2
671;Hautes-Pyrénées | 2006;2
672;Pyrénées-Orientales | 2006;2
673;Bas-Rhin | 2006;1
674;Haut-Rhin | 2006;2
675;Rhône | 2006;1
676;Haute-Saône | 2006;2
677;Saône-et-Loire | 2006;2
678;Sarthe | 2006;2
679;Savoie | 2006;2
680;Haute-Savoie | 2006;2
681;Paris | 2006;0
682;Seine-Maritime | 2006;1
683;Seine-et-Marne | 2006;1
684;Yvelines | 2006;1
685;Deux-Sèvres | 2006;2
686;Somme | 2006;2
687;Tarn | 2006;2
688;Tarn-et-Garonne | 2006;2
689;Var | 2006;1
690;Vaucluse | 2006;2
691;Vendée | 2006;2
692;Vienne | 2006;2
693;Haute-Vienne | 2006;2
694;Vosges | 2006;2
695;Yonne | 2006;2
696;Territoire de Belfort | 2006;2
697;Essonne | 2006;1
698;Hauts-de-Seine | 2006;1
699;Seine-Saint-Denis | 2006;1
700;Val-de-Marne | 2006;1
701;Val-d'Oise | 2006;1
702;Guadeloupe | 2006;2
703;Martinique | 2006;2
704;Guyane | 2006;2
705;La Réunion | 2006;1
706;faute de frappe | 2006;0
707;Ain | 2011;2
708;Aisne | 2011;2
709;Allier | 2011;2
710;Alpes-de-Haute-Provence | 2011;2
711;Hautes-Alpes | 2011;2
712;Alpes-Maritimes | 2011;1
713;Ardèche | 2011;2
714;Ardennes | 2011;2
715;Ariège | 2011;2
716;Aube | 2011;2
717;Aude | 2011;2
718;Aveyron | 2011;2
719;Bouches-du-Rhône | 2011;0
720;Calvados | 2011;2
721;Cantal | 2011;2
722;Charente | 2011;2
723;Charente-Maritime | 2011;2
724;Cher | 2011;2
725;Corrèze | 2011;2
726;Côte-d'Or | 2011;2
727;Côtes-d'Armor | 2011;2
728;Creuse | 2011;2
729;Dordogne | 2011;2
730;Doubs | 2011;2
731;Drôme | 2011;2
732;Eure | 2011;2
733;Eure-et-Loir | 2011;2
734;Finistère | 2011;1
735;Corse-du-Sud | 2011;2
736;Haute-Corse | 2011;2
737;Gard | 2011;2
738;Haute-Garonne | 2011;1
739;Gers | 2011;2
740;Gironde | 2011;1
741;Hérault | 2011;1
742;Ille-et-Vilaine | 2011;1
743;Indre | 2011;2
744;Indre-et-Loire | 2011;2
745;Isère | 2011;1
746;Jura | 2011;2
747;Landes | 2011;2
748;Loir-et-Cher | 2011;2
749;Loire | 2011;1
750;Haute-Loire | 2011;2
751;Loire-Atlantique | 2011;1
752;Loiret | 2011;2
753;Lot | 2011;2
754;Lot-et-Garonne | 2011;2
755;Lozère | 2011;2
756;Maine-et-Loire | 2011;1
757;Manche | 2011;2
758;Marne | 2011;2
759;Haute-Marne | 2011;2
760;Mayenne | 2011;2
761;Meurthe-et-Moselle | 2011;1
762;Meuse | 2011;2
763;Morbihan | 2011;1
764;Moselle | 2011;1
765;Nièvre | 2011;2
766;Nord | 2011;0
767;Oise | 2011;1
768;Orne | 2011;2
769;Pas-de-Calais | 2011;1
770;Puy-de-Dôme | 2011;2
771;Pyrénées-Atlantiques | 2011;2
772;Hautes-Pyrénées | 2011;2
773;Pyrénées-Orientales | 2011;2
774;Bas-Rhin | 2011;1
775;Haut-Rhin | 2011;1
776;Rhône | 2011;1
777;Haute-Saône | 2011;2
778;Saône-et-Loire | 2011;2
779;Sarthe | 2011;2
780;Savoie | 2011;2
781;Haute-Savoie | 2011;1
782;Paris | 2011;0
783;Seine-Maritime | 2011;1
784;Seine-et-Marne | 2011;1
785;Yvelines | 2011;1
786;Deux-Sèvres | 2011;2
787;Somme | 2011;2
788;Tarn | 2011;2
789;Tarn-et-Garonne | 2011;2
790;Var | 2011;1
791;Vaucluse | 2011;2
792;Vendée | 2011;2
793;Vienne | 2011;2
794;Haute-Vienne | 2011;2
795;Vosges | 2011;2
796;Yonne | 2011;2
797;Territoire de Belfort | 2011;2
798;Essonne | 2011;1
799;Hauts-de-Seine | 2011;1
800;Seine-Saint-Denis | 2011;1
801;Val-de-Marne | 2011;1
802;Val-d'Oise | 2011;1
803;Guadeloupe | 2011;2
804;Martinique | 2011;2
805;Guyane | 2011;2
806;La Réunion | 2011;1
807;faute de frappe | 2011;1
