;ID;CLUSTER
441;Loir-et-Cher | 1990;0
442;Loire | 1990;2
443;Haute-Loire | 1990;0
444;Loire-Atlantique | 1990;4
445;Loiret | 1990;2
446;Lot | 1990;0
447;Lot-et-Garonne | 1990;0
448;Lozère | 1990;0
449;Maine-et-Loire | 1990;2
450;Manche | 1990;2
451;Marne | 1990;2
452;Haute-Marne | 1990;0
453;Mayenne | 1990;0
454;Meurthe-et-Moselle | 1990;2
455;Meuse | 1990;0
456;Morbihan | 1990;2
457;Moselle | 1990;4
458;Nièvre | 1990;0
459;Nord | 1990;3
460;Oise | 1990;2
461;Orne | 1990;0
462;Pas-de-Calais | 1990;4
463;Puy-de-Dôme | 1990;2
464;Pyrénées-Atlantiques | 1990;2
465;Hautes-Pyrénées | 1990;0
466;Pyrénées-Orientales | 1990;0
467;Bas-Rhin | 1990;2
468;Haut-Rhin | 1990;2
469;Rhône | 1990;4
470;Haute-Saône | 1990;0
471;Saône-et-Loire | 1990;2
472;Sarthe | 1990;2
473;Savoie | 1990;0
474;Haute-Savoie | 1990;0
475;Paris | 1990;3
476;Seine-Maritime | 1990;4
477;Seine-et-Marne | 1990;2
478;Yvelines | 1990;2
479;Deux-Sèvres | 1990;0
480;Somme | 1990;2
481;Tarn | 1990;0
482;Tarn-et-Garonne | 1990;0
483;Var | 1990;2
484;Vaucluse | 1990;0
485;Vendée | 1990;2
486;Vienne | 1990;0
487;Haute-Vienne | 1990;0
488;Vosges | 1990;2
489;Yonne | 1990;0
490;Territoire de Belfort | 1990;0
491;Essonne | 1990;2
492;Hauts-de-Seine | 1990;4
493;Seine-Saint-Denis | 1990;4
494;Val-de-Marne | 1990;2
495;Val-d'Oise | 1990;2
496;Guadeloupe | 1990;2
497;Martinique | 1990;2
498;Guyane | 1990;0
499;La Réunion | 1990;2
500;faute de frappe | 1990;1
501;Ain | 1999;0
502;Aisne | 1999;2
503;Allier | 1999;0
504;Alpes-de-Haute-Provence | 1999;0
505;Hautes-Alpes | 1999;0
506;Alpes-Maritimes | 1999;2
507;Ardèche | 1999;0
508;Ardennes | 1999;0
509;Ariège | 1999;0
510;Aube | 1999;0
511;Aude | 1999;0
512;Aveyron | 1999;0
513;Bouches-du-Rhône | 1999;4
514;Calvados | 1999;2
515;Cantal | 1999;0
516;Charente | 1999;0
517;Charente-Maritime | 1999;2
518;Cher | 1999;0
519;Corrèze | 1999;0
520;Côte-d'Or | 1999;2
521;Côtes-d'Armor | 1999;2
522;Creuse | 1999;0
523;Dordogne | 1999;0
524;Doubs | 1999;2
525;Drôme | 1999;0
526;Eure | 1999;2
527;Eure-et-Loir | 1999;0
528;Finistère | 1999;4
529;Corse-du-Sud | 1999;0
530;Haute-Corse | 1999;0
531;Gard | 1999;2
532;Haute-Garonne | 1999;2
533;Gers | 1999;0
534;Gironde | 1999;4
535;Hérault | 1999;2
536;Ille-et-Vilaine | 1999;2
537;Indre | 1999;0
538;Indre-et-Loire | 1999;2
539;Isère | 1999;2
540;Jura | 1999;0
541;Landes | 1999;0
542;Loir-et-Cher | 1999;0
543;Loire | 1999;2
544;Haute-Loire | 1999;0
545;Loire-Atlantique | 1999;4
546;Loiret | 1999;2
547;Lot | 1999;0
548;Lot-et-Garonne | 1999;0
549;Lozère | 1999;0
550;Maine-et-Loire | 1999;2
551;Manche | 1999;2
552;Marne | 1999;2
553;Haute-Marne | 1999;0
554;Mayenne | 1999;0
555;Meurthe-et-Moselle | 1999;2
556;Meuse | 1999;0
557;Morbihan | 1999;2
558;Moselle | 1999;4
559;Nièvre | 1999;0
560;Nord | 1999;3
561;Oise | 1999;2
562;Orne | 1999;0
563;Pas-de-Calais | 1999;4
564;Puy-de-Dôme | 1999;2
565;Pyrénées-Atlantiques | 1999;2
566;Hautes-Pyrénées | 1999;0
567;Pyrénées-Orientales | 1999;0
568;Bas-Rhin | 1999;4
569;Haut-Rhin | 1999;2
570;Rhône | 1999;4
571;Haute-Saône | 1999;0
572;Saône-et-Loire | 1999;2
573;Sarthe | 1999;2
574;Savoie | 1999;0
575;Haute-Savoie | 1999;2
576;Paris | 1999;3
577;Seine-Maritime | 1999;4
578;Seine-et-Marne | 1999;2
579;Yvelines | 1999;2
580;Deux-Sèvres | 1999;0
581;Somme | 1999;2
582;Tarn | 1999;0
583;Tarn-et-Garonne | 1999;0
584;Var | 1999;2
585;Vaucluse | 1999;0
586;Vendée | 1999;2
587;Vienne | 1999;0
588;Haute-Vienne | 1999;0
589;Vosges | 1999;2
590;Yonne | 1999;0
591;Territoire de Belfort | 1999;0
592;Essonne | 1999;2
593;Hauts-de-Seine | 1999;4
594;Seine-Saint-Denis | 1999;4
595;Val-de-Marne | 1999;2
596;Val-d'Oise | 1999;2
597;Guadeloupe | 1999;2
598;Martinique | 1999;2
599;Guyane | 1999;0
600;La Réunion | 1999;2
601;faute de frappe | 1999;1
602;Ain | 2006;0
603;Aisne | 2006;2
604;Allier | 2006;0
605;Alpes-de-Haute-Provence | 2006;0
606;Hautes-Alpes | 2006;0
607;Alpes-Maritimes | 2006;2
608;Ardèche | 2006;0
609;Ardennes | 2006;0
610;Ariège | 2006;0
