;ID;CLUSTER
418;Eure-et-Loir | 1990;1
419;Finistère | 1990;1
420;Corse-du-Sud | 1990;1
421;Haute-Corse | 1990;1
422;Gard | 1990;1
423;Haute-Garonne | 1990;1
424;Gers | 1990;1
425;Gironde | 1990;1
426;Hérault | 1990;1
427;Ille-et-Vilaine | 1990;1
428;Indre | 1990;1
429;Indre-et-Loire | 1990;1
430;Isère | 1990;1
431;Jura | 1990;1
432;Landes | 1990;1
433;Loir-et-Cher | 1990;1
434;Loire | 1990;1
435;Haute-Loire | 1990;1
436;Loire-Atlantique | 1990;1
437;Loiret | 1990;1
438;Lot | 1990;1
439;Lot-et-Garonne | 1990;1
440;Lozère | 1990;1
441;Maine-et-Loire | 1990;1
442;Manche | 1990;1
443;Marne | 1990;1
444;Haute-Marne | 1990;1
445;Mayenne | 1990;1
446;Meurthe-et-Moselle | 1990;1
447;Meuse | 1990;1
448;Morbihan | 1990;1
449;Moselle | 1990;1
450;Nièvre | 1990;1
451;Nord | 1990;1
452;Oise | 1990;1
453;Orne | 1990;1
454;Pas-de-Calais | 1990;1
455;Puy-de-Dôme | 1990;1
456;Pyrénées-Atlantiques | 1990;1
457;Hautes-Pyrénées | 1990;1
458;Pyrénées-Orientales | 1990;1
459;Bas-Rhin | 1990;1
460;Haut-Rhin | 1990;1
461;Rhône | 1990;1
462;Haute-Saône | 1990;1
463;Saône-et-Loire | 1990;1
464;Sarthe | 1990;1
465;Savoie | 1990;1
466;Haute-Savoie | 1990;1
467;Paris | 1990;1
468;Seine-Maritime | 1990;1
469;Seine-et-Marne | 1990;1
470;Yvelines | 1990;1
471;Deux-Sèvres | 1990;1
472;Somme | 1990;1
473;Tarn | 1990;1
474;Tarn-et-Garonne | 1990;1
475;Var | 1990;1
476;Vaucluse | 1990;1
477;Vendée | 1990;1
478;Vienne | 1990;1
479;Haute-Vienne | 1990;1
480;Vosges | 1990;1
481;Yonne | 1990;1
482;Territoire de Belfort | 1990;1
483;Essonne | 1990;1
484;Hauts-de-Seine | 1990;1
485;Seine-Saint-Denis | 1990;1
486;Val-de-Marne | 1990;1
487;Val-d'Oise | 1990;1
488;Guadeloupe | 1990;1
489;Martinique | 1990;1
490;Guyane | 1990;1
491;La Réunion | 1990;1
492;faute de frappe | 1990;0
493;Ain | 1999;1
494;Aisne | 1999;1
495;Allier | 1999;1
496;Alpes-de-Haute-Provence | 1999;1
497;Hautes-Alpes | 1999;1
498;Alpes-Maritimes | 1999;1
499;Ardèche | 1999;1
500;Ardennes | 1999;1
501;Ariège | 1999;1
502;Aube | 1999;1
503;Aude | 1999;1
504;Aveyron | 1999;1
505;Bouches-du-Rhône | 1999;1
506;Calvados | 1999;1
507;Cantal | 1999;1
508;Charente | 1999;1
509;Charente-Maritime | 1999;1
510;Cher | 1999;1
511;Corrèze | 1999;1
512;Côte-d'Or | 1999;1
513;Côtes-d'Armor | 1999;1
514;Creuse | 1999;1
515;Dordogne | 1999;1
516;Doubs | 1999;1
517;Drôme | 1999;1
518;Eure | 1999;1
519;Eure-et-Loir | 1999;1
520;Finistère | 1999;1
521;Corse-du-Sud | 1999;1
522;Haute-Corse | 1999;1
523;Gard | 1999;1
524;Haute-Garonne | 1999;1
525;Gers | 1999;1
526;Gironde | 1999;1
527;Hérault | 1999;1
528;Ille-et-Vilaine | 1999;1
529;Indre | 1999;1
530;Indre-et-Loire | 1999;1
531;Isère | 1999;1
532;Jura | 1999;1
533;Landes | 1999;1
534;Loir-et-Cher | 1999;1
535;Loire | 1999;1
536;Haute-Loire | 1999;1
537;Loire-Atlantique | 1999;1
538;Loiret | 1999;1
539;Lot | 1999;1
540;Lot-et-Garonne | 1999;1
541;Lozère | 1999;1
542;Maine-et-Loire | 1999;1
543;Manche | 1999;1
544;Marne | 1999;1
545;Haute-Marne | 1999;1
546;Mayenne | 1999;1
547;Meurthe-et-Moselle | 1999;1
548;Meuse | 1999;1
549;Morbihan | 1999;1
550;Moselle | 1999;1
551;Nièvre | 1999;1
552;Nord | 1999;1
553;Oise | 1999;1
554;Orne | 1999;1
555;Pas-de-Calais | 1999;1
556;Puy-de-Dôme | 1999;1
557;Pyrénées-Atlantiques | 1999;1
558;Hautes-Pyrénées | 1999;1
559;Pyrénées-Orientales | 1999;1
560;Bas-Rhin | 1999;1
561;Haut-Rhin | 1999;1
562;Rhône | 1999;1
563;Haute-Saône | 1999;1
564;Saône-et-Loire | 1999;1
565;Sarthe | 1999;1
566;Savoie | 1999;1
567;Haute-Savoie | 1999;1
568;Paris | 1999;1
569;Seine-Maritime | 1999;1
570;Seine-et-Marne | 1999;1
571;Yvelines | 1999;1
572;Deux-Sèvres | 1999;1
573;Somme | 1999;1
574;Tarn | 1999;1
575;Tarn-et-Garonne | 1999;1
576;Var | 1999;1
577;Vaucluse | 1999;1
578;Vendée | 1999;1
579;Vienne | 1999;1
580;Haute-Vienne | 1999;1
581;Vosges | 1999;1
582;Yonne | 1999;1
